1,2,3
1,2,3
3,4,5
10,13,14
6,20,21
1,2,3
8,9,10
7,9,10
6,7,8
15,16,17
5,6,7
9,10,11
4,5,6
6,7,8
1,17,18
12,13,14
8,9,10
5,6,7
5,6,7
6,7,8
10,11,12
7,15,16
19,20,21
5,7,8
3,5,6
8,9,10
16,17,18
10,11,12
18,19,20
4,5,6
1,2,3
1,2,3
13,14,15
1,2,3
11,12,13
16,17,18
13,17,18
13,14,15
18,19,20
14,15,16
9,10,11
8,9,10
7,8,9
6,7,8
7,8,9
11,12,13
6,7,8
6,7,8
1,2,3
1,3,4
11,15,16
5,6,7
10,11,12
8,9,10
12,13,14
15,16,17
5,6,7
14,15,16
5,6,7
6,7,8
18,19,20
5,6,7
15,16,17
18,19,20
2,4,5
10,11,12
17,18,19
5,6,7
3,4,5
6,7,8
4,5,6
19,20,21
12,13,14
5,12,13
2,18,19
7,8,9
2,3,4
4,5,6
10,11,12
4,5,6
1,2,3
1,10,11
11,12,13
7,14,15
14,15,16
1,2,3
11,12,13
11,12,13
1,8,9
2,3,4
4,5,7
1,2,3
9,10,11
7,8,9
20,21,22
11,12,13
19,20,21
9,10,11
13,14,15
1,2,3
1,2,3
6,18,19
8,9,10
3,4,5
10,11,12
4,5,6
11,12,13
2,4,5
11,12,13
3,12,13
14,15,16
8,9,10
4,5,6
6,7,8
6,7,8
3,18,19
4,5,6
4,10,11
5,6,7
18,19,20
4,5,6
2,3,4
3,4,5
2,8,9
17,18,19
17,18,19
14,15,16
2,3,4
19,20,21
1,15,16
1,2,3
1,2,3
14,15,16
19,20,21
20,21,22
6,7,8
5,6,7
10,11,12
4,18,19
20,21,22
9,10,11
7,8,9
2,3,4
17,18,19
6,7,8
9,10,11
1,2,3
10,11,12
4,16,17
10,11,12
18,19,20
12,19,20
13,14,15
9,10,11
6,7,8
2,3,4
4,6,7
20,21,22
8,9,10
16,17,18
1,2,3
10,14,15
19,20,21
9,10,11
6,7,8
9,10,11
7,13,14
20,21,22
1,2,3
8,9,10
1,2,3
2,3,4
1,2,3
4,5,6
2,3,4
8,14,15
7,8,9
1,5,6
4,5,6
5,15,16
10,11,12
20,21,22
4,19,20
1,3,4
3,4,5
11,12,13
2,3,4
9,17,18
1,2,3
2,3,4
12,13,14
1,2,3
16,17,18
16,17,18
15,16,17
9,16,17
1,2,3
2,3,4
1,3,4
3,19,20
13,14,15
10,11,12
5,6,7
7,8,9
9,10,11
9,10,11
16,17,18
3,4,5
18,19,20
11,12,13
3,11,12
1,2,3
13,14,15
14,15,16
1,2,3
17,20,21
2,3,4
15,16,17
5,6,7
16,17,18
14,15,16
9,10,11
8,9,10
18,19,20
20,21,22
3,12,13
3,4,5
15,16,17
14,15,16
2,3,4
1,2,3
12,13,14
3,4,5
6,7,8
3,5,6
13,14,15
4,5,6
1,2,3
4,5,6
17,18,19
3,4,5
11,12,13
1,2,4
19,20,21
5,6,7
15,16,17
5,7,8
18,19,20
13,14,15
3,4,5
11,13,14
3,6,7
12,18,19
19,20,21
12,13,14
2,3,4
16,17,18
4,8,9
11,17,18
11,12,13
19,20,21
18,19,20
8,9,10
4,5,6
1,17,18
6,7,8
13,14,15
13,14,15
7,12,13
1,2,3
6,11,12
19,20,21
8,11,12
4,6,7
11,19,20
8,9,10
6,7,8
1,2,3
10,11,12
4,18,19
5,6,7
5,6,7
10,11,12
7,8,9
20,21,22
1,10,11
1,3,4
18,19,20
19,20,21
2,3,4
10,11,12
19,20,21
8,12,13
7,8,9
1,2,3
13,14,15
16,17,18
12,13,14
15,16,17
2,11,12
7,8,9
13,14,15
16,17,18
13,14,15
19,20,21
7,8,9
18,19,20
10,11,12
3,8,9
1,2,3
3,10,11
13,14,15
6,10,11
20,21,22
1,3,4
2,7,8
7,8,9
19,20,21
16,17,18
4,5,6
4,5,6
10,11,12
9,15,16
1,7,8
1,4,5
3,4,5
1,7,8
5,11,12
16,17,18
8,19,20
9,15,16
3,4,5
16,17,18
10,11,12
3,4,5
10,11,12
16,17,18
5,6,7
20,21,22
19,20,21
14,15,16
10,11,12
3,4,6
12,13,14
3,4,5
11,12,13
1,2,3
10,14,15
20,21,22
12,13,14
8,9,10
18,19,20
5,7,8
15,16,17
9,10,11
7,8,9
15,16,17
18,19,20
1,2,3
9,17,18
3,4,5
2,6,7
18,19,20
11,12,13
2,3,4
12,18,19
15,16,17
11,12,13
7,8,9
1,3,4
9,10,11
4,5,7
5,6,7
4,5,6
12,13,14
3,4,5
19,20,21
8,12,13
20,21,22
5,6,7
18,19,20
4,5,6
4,6,7
8,9,10
11,18,19
7,8,9
14,15,16
8,9,10
1,3,4
9,10,11
7,8,9
5,6,7
13,14,15
15,16,17
1,2,3
8,13,14
16,17,18
13,14,15
4,5,7
6,7,8
3,6,7
10,11,12
1,2,3
16,17,18
6,7,8
1,2,3
3,6,7
6,7,8
9,10,11
19,20,21
4,14,15
1,2,3
20,21,22
12,13,14
8,9,10
7,16,17
14,15,16
9,10,11
15,16,17
1,6,7
4,6,7
18,19,20
19,20,21
6,7,8
4,5,6
1,2,3
15,16,17
14,15,16
7,8,9
6,7,8
11,12,13
1,2,3
8,9,10
9,10,11
6,7,8
1,2,3
11,12,13
1,2,3
8,9,10
13,14,15
3,4,5
1,2,3
18,19,20
1,2,4
18,19,20
8,9,10
3,4,5
12,13,14
6,7,8
13,14,15
1,2,3
2,5,6
19,20,21
10,11,12
8,9,11
2,10,11
6,7,8
16,20,21
9,10,11
5,6,7
1,2,3
20,21,22
17,18,19
5,12,13
8,17,18
12,13,14
10,11,12
2,3,4
13,14,15
18,19,20
1,2,3
7,8,9
11,12,13
9,10,11
13,14,15
5,13,14
10,11,12
4,5,6
3,4,5
5,6,7
13,14,15
1,2,3
16,17,18
1,2,3
2,3,4
1,5,6
11,12,13
3,4,5
15,16,17
5,6,7
1,2,3
2,3,4
5,6,7
16,17,18
5,6,7
1,2,3
4,5,6
1,2,3
16,17,18
4,5,6
8,9,10
4,6,7
3,4,5
15,16,17
10,11,12
7,8,9
4,5,6
18,19,20
5,6,7
17,18,19
16,17,18
8,9,10
15,16,17
10,11,12
18,19,20
14,15,16
13,14,15
13,14,15
13,14,15
1,2,3
7,8,9
2,3,4
2,3,4
5,6,7
14,15,16
7,8,9
20,21,22
19,20,21
14,15,16
11,12,13
3,4,5
2,3,4
2,3,4
20,21,22
14,15,16
1,2,3
19,20,21
9,10,11
15,16,17
9,14,15
3,4,5
11,12,13
17,18,19
15,16,17
15,16,17
9,10,11
18,19,20
4,5,6
3,4,5
4,5,6
1,2,4
16,17,18
6,17,18
16,17,18
7,8,9
2,3,4
6,7,8
15,16,17
1,2,3
5,6,7
2,3,4
6,7,8
9,10,11
1,2,3
19,20,21
13,14,15
5,10,11
9,10,11
1,2,3
2,4,5
13,14,15
1,2,3
19,20,21
8,9,10
4,5,6
1,2,3
19,20,21
1,2,3
19,20,21
17,18,19
9,14,15
6,8,9
16,18,19
18,19,20
1,2,3
14,15,16
8,9,10
11,12,13
15,16,17
5,6,7
1,2,3
15,16,17
11,12,13
8,9,10
12,13,14
5,6,7
3,4,5
20,21,22
3,4,5
12,13,14
2,3,4
20,21,22
3,4,5
13,14,15
5,6,7
12,13,14
1,2,3
5,6,7
1,2,3
19,20,21
13,14,15
19,20,21
12,13,14
4,7,8
1,2,3
19,20,21
1,2,3
2,3,4
6,7,8
12,13,14
3,5,6
